id,name
size_0_6,0.6
size_0_7,0.7
size_0_8,0.8
size_0_9,0.9
size_1_0,1.0
size_1_1,1.1
size_1_2,1.2
size_1_25,1.25
size_1_3,1.3
size_1_4,1.4
size_1_4x0_5,1.4X0.5
size_1_5,1.5
size_1_6,1.6
size_1_6_1_7,1.6-1.7
size_1_6X1,1.6X1
size_1_7,1.7
size_1_7_1_8,1.7-1.8
size_1_8,1.8
size_1_8X1_8,1.8X1.8
size_1_9,1.9
size_1_9X0_9,1.9X0.9
size_1_9X1_0,1.9X1.0
size_1_9X1_1,1.9X1.1
size_10_1H,10 1H
size_10_11,10-11
size_10_0,10.0
size_10_5_11,10.5-11
size_10_5X10_5,10.5X10.5
size_10_5X8,10.5X8
size_10_5X9,10.5X9
size_10_5X9_5,10.5X9.5
size_10_6,10.6
size_10_5_5,10/5.5
size_10X10,10X10
size_10x10_3_0,10X10/3.0
size_10X2,10X2
size_10X5,10X5
size_10X6,10X6
size_10X7,10X7
size_10X8,10X8
size_10X9,10X9
size_10X9_5,10X9.5
size_11_11_5,11-11.5
size_11_12,11-12
size_11_13,11-13
size_11_0,11.0
size_11_5,11.5
size_11_5X10,11.5X10
size_11_5X11_5,11.5X11.5
size_11_5X6,11.5X6
size_11_5X8_5,11.5X8.5
size_11_5X9_5,11.5X9.5
size_11_7X11,11.7X11
size_11_6,11/6
size_11X11,11X11
size_11x3_5,11X3.5
size_11X5,11X5
size_11X5_5,11X5.5
size_11X7,11X7
size_11X8,11X8
size_11X9,11X9
size_12_13,12-13
size_12_0,12.0
size_12_5,12.5
size_12_5X10_5,12.5X10.5
size_12_5X12_5,12.5X12.5
size_12MM,12MM
size_12X10,12X10
size_12X10_5,12X10.5
size_12X11,12X11
size_12X12,12X12
size_12X3,12X3
size_12X6,12X6
size_12X7,12X7
size_12X8,12X8
size_12X8_6,12X8/6
size_12X9,12X9
size_13_14,13-14
size_13_0,13.0
size_13_4x7_55_,13.4X7.55
size_13_5_14,13.5-14
size_13_5_6,13.5/6
size_13_5X11,13.5X11
size_13_5X11_5_,13.5X11.5
size_13_5X8_5_1,13.5X8.5/1
size_13_5X9_5,13.5X9.5
size_13_8,13.8
size_13_7,13/7
size_13X10,13X10
size_13X10_7,13X10/7
size_13X11,13X11
size_13X11_5,13X11/5
size_13X12,13X12
size_13X13,13X13
size_13x13_4,13X13/4
size_13X3,13X3
size_13X5_5_9_5,13X5.5/9.5
size_13X6_5,13X6.5
size_13X7,13X7
size_13X8_5,13X8.5
size_13X9,13X9
size_14_0,14.0
size_14_5,14.5
size_14_5X10,14.5X10
size_14_5X10_5,14.5X10.5
size_14_5X12_5,14.5X12.5
size_14_5X8_5,14.5X8.5
size_14_7X11_4,14.7X11.4
size_14X10,14X10
size_14X11,14X11
size_14x11_2_4,14X11.2/4
size_14x11_5,14X11/5
size_14X11_9,14X11/9
size_14X12,14X12
size_14X12_5,14X12/5
size_14X13,14X13
size_14X14,14X14
size_14X7,14X7
size_14X9,14X9
size_14X9_5,14X9.5
size_15_0,15.0
size_15_5,15.5
size_15_5X11_13,15.5X11/13
size_15_5X12,15.5X12
size_15X10,15X10
size_15X11,15X11
size_15X11_4_5,15X11/4.5
size_15X12,15X12
size_15x12_2_4,15X12.2/4
size_15X13,15X13
size_15X15,15X15
size_15X8,15X8
size_15x9_3,15X9/3
size_16_0,16.0
size_16_5X11_5_,16.5X11.5
size_16_5X12_5,16.5X12.5
size_16_5X13_6,16.5X13/6
size_16_6,16.6
size_16_7x9_45_,16.7X9.45
size_16_12,16/12
size_16X10_5,16X10.5
size_16X12,16X12
size_16x13,16X13
size_16X13_8,16X13.8
size_16x13_6,16X13/6
size_16X14,16X14
size_16x15,16X15
size_16x16,16X16
size_16x16_5,16X16/5
size_16X8,16X8
size_17_0,17.0
size_17_5x11,17.5X11
size_17x10_3,17X10/3
size_17X12,17X12
size_17X12_4,17X12/4
size_17x13_8,17X13/8
size_17x14,17X14
size_17X15X5,17X15X5
size_17x16,17X16
size_17x17,17X17
size_17X7,17X7
size_17X9_5,17X9/5
size_18_20,18-20
size_18_0,18.0
size_18_5X11,18.5X11
size_18_5X11_5,18.5X11.5
size_18_5X18_5,18.5X18.5
size_18_9X5_44,18.9X5.44
size_18x10,18X10
size_18X10_5,18X10.5
size_18X11,18X11
size_18X12,18X12
size_18X13,18X13
size_18X13_5,18X13/5
size_18X14,18X14
size_18x15,18X15
size_18X9,18X9
size_19X11,19X11
size_19X12,19X12
size_19X14,19X14
size_19x17,19X17
size_19X19,19X19
size_19x7,19X7
size_19x8,19X8
size_19X9,19X9
size_1H,1H
size_1H_7_7_5,1H 7-7.5
size_2_2_5,2-2.5
size_2_0,2.0
size_2_0x1_5,2.0X1.5
size_2_0X2_0,2.0X2.0
size_2_1,2.1
size_2_1X1,2.1X1
size_2_1X1_1,2.1X1.1
size_2_1x1_15,2.1X1.15
size_2_1X1_2,2.1X1.2
size_2_1X1_6,2.1X1.6
size_2_2,2.2
size_2_2_2_3,2.2-2.3
size_2_2X0_9,2.2X0.9
size_2_2X1,2.2X1
size_2_2X2_2,2.2X2.2
size_2_3,2.3
size_2_3X1,2.3X1
size_2_3X1_2,2.3X1.2
size_2_3x1_3,2.3X1.3
size_2_3X1_5,2.3X1.5
size_2_4,2.4
size_2_4x1,2.4X1
size_2_4X1_2,2.4X1.2
size_2_4x1_5,2.4X1.5
size_2_4x2_0,2.4X2.0
size_2_5,2.5
size_2_5_3,2.5-3
size_2_5_3_0,2.5-3.0
size_2_5X1_2,2.5X1.2
size_2_5X1_3,2.5X1.3
size_2_5X1_5,2.5X1.5
size_2_5x1_7,2.5X1.7
size_2_5X2_5,2.5X2.5
size_2_6,2.6
size_2_6X1_2,2.6X1.2
size_2_6X1_5,2.6X1.5
size_2_6x1_7,2.6X1.7
size_2_7,2.7
size_2_7_2_8,2.7-2.8
size_2_7X1_3,2.7X1.3
size_2_7X1_5,2.7X1.5
size_2_7x1_7,2.7X1.7
size_2_7x2_7,2.7X2.7
size_2_8,2.8
size_2_8_2_9,2.8-2.9
size_2_8x1_15,2.8X1.15
size_2_8X1_3,2.8X1.3
size_2_8X1_4,2.8X1.4
size_2_8X1_5,2.8X1.5
size_2_9,2.9
size_2_9X1_3,2.9X1.3
size_2_9X1_5,2.9X1.5
size_2_9x1_8,2.9X1.8
size_20_0,20.0
size_20X10,20X10
size_20X10_5,20X10/5
size_20X13,20X13
size_20X14,20X14
size_20X15,20X15
size_20X16,20X16
size_20X18,20X18
size_20X18X6,20X18X6
size_20X20,20X20
size_20x6,20X6
size_20X8,20X8
size_20X8_6,20X8/6
size_21_6X17,21.6X17
size_21X15,21X15
size_21x16,21X16
size_21X16_5,21X16.5
size_21X16_4,21X16/4
size_21x21,21X21
size_22_0,22.0
size_22_9,22/9
size_22x12,22X12
size_22x13,22X13
size_22X14_10,22X14/10
size_22X14_11,22X14/11
size_22X15,22X15
size_22X16,22X16
size_22X17,22X17
size_23_5X14_5,23.5X14.5
size_23X15_12,23X15/12
size_23x20,23X20
size_23x8_2_6,23X8.2/6
size_24X14,24X14
size_24X16,24X16
size_24X20,24X20
size_24x20_6,24X20/6
size_25_0,25.0
size_25_6x23_7_,25.6X23.7
size_25X11,25X11
size_25X13,25X13
size_25x15,25X15
size_25x18,25X18
size_25x18_4,25X18/4
size_25X20,25X20
size_25X22,25X22
size_25X25,25X25
size_25X7,25X7
size_25x8_6,25X8/6
size_26,26.0
size_26X18_8,26X18/8
size_26X21,26X21
size_27_0,27.0
size_27x15,27X15
size_27X16,27X16
size_27X17,27X17
size_27X18_6,27X18/6
size_27X20,27X20
size_27X22_8,27X22/8
size_27X7,27X7
size_28X11_8,28X11/8
size_28X13,28X13
size_28X17,28X17
size_28X19,28X19
size_28X25,28X25
size_28X8,28X8
size_28x9_5_7,28X9.5/7
size_29X12,29X12
size_2x1,2X1
size_2X1_5,2X1.5
size_2X2,2X2
size_3_3_5,3-3.5
size_3_0,3.0
size_3_0x1_2,3.0X1.2
size_3_0X1_5,3.0X1.5
size_3_1,3.1
size_3_1X1_4,3.1X1.4
size_3_1X1_6,3.1X1.6
size_3_1X1_7,3.1X1.7
size_3_2,3.2
size_3_25x2_5,3.25X2.5
size_3_2X1_3,3.2X1.3
size_3_2X1_4,3.2X1.4
size_3_2x2,3.2X2
size_3_3,3.3
size_3_3x1_5,3.3X1.5
size_3_3x1_7,3.3X1.7
size_3_3X2,3.3X2
size_3_3X2_1_1,3.3X2.1/1
size_3_3x3_3,3.3X3.3
size_3_4,3.4
size_3_4X3,3.4X3
size_3_5,3.5
size_3_5_4,3.5-4
size_3_5x1_2,3.5X1.2
size_3_5X1_5,3.5X1.5
size_3_5x1_7,3.5X1.7
size_3_5x1_75,3.5X1.75
size_3_5X2,3.5X2
size_3_5X2_5,3.5X2.5
size_3_5x2_7,3.5X2.7
size_3_5X3,3.5X3
size_3_5X3_5,3.5X3.5
size_3_6,3.6
size_3_7,3.7
size_3_75x2,3.75X2
size_3_75x2_5,3.75X2.5
size_3_7x2_2,3.7X2.2
size_3_8,3.8
size_3_8x1_8,3.8X1.8
size_3_8X2_2,3.8X2.2
size_3_9,3.9
size_3_9x1_9,3.9X1.9
size_30_0,30.0
size_30X10_,30X10
size_30X13,30X13
size_30X15,30X15
size_30X19X13,30X19X13
size_30X21,30X21
size_30X30,30X30
size_30x8,30X8
size_32x25_7,32X25/7
size_33X11,33X11
size_34x8,34X8
size_35_0,35.0
size_35_5x13,35.5X13
size_35x15,35X15
size_35x18,35X18
size_35X23,35X23
size_35x25,35X25
size_35x30,35X30
size_35X35,35X35
size_36X27,36X27
size_37X19_5,37X19.5
size_38X26,38X26
size_3X1_2,3X1.2
size_3X1_3,3X1.3
size_3X1_5,3X1.5
size_3X1_8,3X1.8
size_3X1_9,3X1.9
size_3X2,3X2
size_3x2_25,3X2.25
size_3x2_5,3X2.5
size_3x2_75,3X2.75
size_3X3,3X3
size_4_4_5,4-4.5
size_4_0,4.0
size_4_1,4.1
size_4_1X2,4.1X2
size_4_1x2_1,4.1X2.1
size_4_1x2_5,4.1X2.5
size_4_2,4.2
size_4_25x2,4.25X2
size_4_25x2_5,4.25X2.5
size_4_2x1_9,4.2X1.9
size_4_3,4.3
size_4_4,4.4
size_4_5,4.5
size_4_5_5,4.5-5
size_4_5X2,4.5X2
size_4_5x2_25,4.5X2.25
size_4_5X2_5,4.5X2.5
size_4_5x3,4.5X3
size_4_5x3_5,4.5X3.5
size_4_5X4_5,4.5X4.5
size_4_5x4_5_3_,4.5X4.5/3.
size_4_6,4.6
size_4_6\5X3_5,4.6\5X3.5
size_4_6x2_75,4.6X2.75
size_4_7,4.7
size_4_75x2_75,4.75X2.75
size_4_75x3,4.75X3
size_4_7x2_4,4.7X2.4
size_4_8,4.8
size_4_9,4.9
size_40_0,40.0
size_40X20_10,40X20/10
size_42X24_11,42X24/11
size_43X18,43X18
size_43X21_10,43X21/10
size_44X25,44X25
size_44X33,44X33
size_4X1,4X1
size_4x1_8,4X1.8
size_4X2,4X2
size_4X2_25,4X2.25
size_4X2_5,4X2.5
size_4x2_75,4X2.75
size_4X3,4X3
size_4X4,4X4
size_4X5X4_5,4X5X4.5
size_5_5_5,5-5.5
size_5_0,5.0
size_5_1,5.1
size_5_1X2_3,5.1X2.3
size_5_2,5.2
size_5_25x2_25,5.25X2.25
size_5_3,5.3
size_5_3x2_75,5.3X2.75
size_5_4,5.4
size_5_4X2_2,5.4X2.2
size_5_5,5.5
size_5_5_6,5.5-6
size_5_5X2_2,5.5X2.2
size_5_5X2_25,5.5X2.25
size_5_5X2_5,5.5X2.5
size_5_5x2_75,5.5X2.75
size_5_5X3,5.5X3
size_5_5X4_5,5.5X4.5
size_5_5X5,5.5X5
size_5_5X5_5,5.5X5.5
size_5_5X5_5_5_,5.5X5.5/5.
size_5_6,5.6
size_5_6x3_5,5.6X3.5
size_5_7,5.7
size_5_75,5.75
size_5_8,5.8
size_5_8X2_5,5.8X2.5
size_5_9,5.9
size_5_9X2_3,5.9X2.3
size_50_0,50.0
size_55X12,55X12
size_5X2,5X2
size_5x2_25,5X2.25
size_5X2_5,5X2.5
size_5x2_75,5X2.75
size_5X3,5X3
size_5X3_5,5X3.5
size_5X4,5X4
size_5X4_5,5X4.5
size_5X5,5X5
size_6_6_5,6-6.5
size_6_6_6,6-6.6
size_6_0,6.0
size_6_1,6.1
size_6_1X2,6.1X2
size_6_2,6.2
size_6_2X2_3,6.2X2.3
size_6_3x3,6.3X3
size_6_3X6_3,6.3X6.3
size_6_5,6.5
size_6_5_7,6.5-7
size_6_5X2_5,6.5X2.5
size_6_5X3,6.5X3
size_6_5X4_5,6.5X4.5
size_6_5X5_5,6.5X5.5
size_6_5X6_5,6.5X6.5
size_6_8X4_9_1,6.8X4.9/1
size_6X1_9,6X1.9
size_6X2,6X2
size_6x2_5,6X2.5
size_6X3,6X3
size_6X4,6X4
size_6X5,6X5
size_6X6,6X6
size_6X7,6X7
size_6X8,6X8
size_7_7_5,7-7.5
size_7_8,7-8
size_7_0,7.0
size_7_27,7.27
size_7_34x4_46,7.34X4.46
size_7_5,7.5
size_7_5_8,7.5-8
size_7_5X6,7.5X6
size_7_5x6_5_4,7.5X6.5/4
size_7_5X7,7.5X7
size_7_6X5_6,7.6X5.6
size_7X2_5,7X2.5
size_7x3,7X3
size_7X3_5,7X3.5
size_7X4_5,7X4.5
size_7X5,7X5
size_7X6,7X6
size_7X7,7X7
size_8_8_5,8-8.5
size_8_0,8.0
size_8_5,8.5
size_8_5_9,8.5-9
size_8_5_9_0,8.5-9.0
size_8_5X3,8.5X3
size_8_5X6_5,8.5X6.5
size_8X4,8X4
size_8X5,8X5
size_8X6,8X6
size_8X7,8X7
size_8X8,8X8
size_9_9_5,9-9.5
size_9_0,9.0
size_9_0_9_5,9.0-9.5
size_9_2X7_2,9.2X7.2
size_9_3,9.3
size_9_3X9_3,9.3X9.3
size_9_4,9.4
size_9_5,9.5
size_9_5_10,9.5-10
size_9_5X7_5,9.5X7.5
size_9_5X8_5,9.5X8.5
size_9_5X9_5,9.5X9.5
size_9_7,9.7
size_9X2_5,9X2.5
size_9X3,9X3
size_9x4_5,9X4.5
size_9X6,9X6
size_9X7,9X7
size_9X8,9X8
size_9X8_5,9X8.5
size_9X9,9X9
size_A120,A120
size_A123,A123
size_A129,A129
size_A315,A315
size_A45,A45
size_A69S,A69S
size_A72,A72
size_All,ALL
size_BGM,BGM
size_BIG,BIG
size_BIG_180_M_,BIG 180 M.
size_BIG_190_M_,BIG 190 M.
size_CURVE,CURVE
size_CUV,CUV
size_MIS,MIS
size_MIX,MIX
size_None,NONE
size_PRM,PRM
size_RING,RING
size_SMALL,SMALL
size_TPM,TPM
size_TRI4X4,TRI4X4
